e.month,e.label,e.n0,e.n1,t.tolal,t.appear,n1_ratio
201703,is_house,5219613,1051801,169712613,5222052,0.201415267408
201706,is_high_level_car,3299574,10475,153268173,3299587,0.00317463973522
201705,is_car,4063316,1151775,183647698,4066868,0.283209339472
201702,is_house,5628742,1048922,166977369,5630984,0.186276856763
201705,is_high_level_car,4066852,11387,183647698,4066868,0.00279994334707
201706,is_house,3298218,758860,153268173,3299587,0.229986358899
201702,is_car,5625726,1492106,166977369,5630984,0.264981395792
201704,is_car,4668000,1308853,191455847,4672676,0.280107801183
201704,is_house,4670352,1045381,191455847,4672676,0.22372212411
201704,is_high_level_car,4672656,12956,191455847,4672676,0.00277271524925
201702,is_travel,5630698,238661,166977369,5630984,0.0423835336772
201703,is_car,5216649,1387841,169712613,5222052,0.265765450057
201703,is_high_level_car,5222021,13540,169712613,5222052,0.00259285047334
201701,is_travel,5815991,255322,188305164,5816302,0.0438976518069
201701,is_high_level_car,5816266,14445,188305164,5816302,0.00248353679021
201701,is_house,5813591,1189239,188305164,5816302,0.204466514978
201705,is_house,4065015,911789,183647698,4066868,0.224199310133
201701,is_car,5811107,1582257,188305164,5816302,0.272038315755
201702,is_high_level_car,5630966,12981,166977369,5630984,0.00230528092426
201703,is_travel,5221781,210315,169712613,5222052,0.0402743978804
201706,is_travel,3299410,186061,153268173,3299587,0.0563891784032
201705,is_travel,4066643,212421,183647698,4066868,0.0522320862147
201704,is_travel,4672390,225165,191455847,4672676,0.0481875910078
201706,is_car,3296714,978162,153268173,3299587,0.296449828418
