bill_installment,user_num,user_loan_num,loan_rate,reloan_rate,num1,p1,num2,p2
0,3393356,110669,0.0326134363739,0.125410006416,96790,0.028523385109,13879,0.00409005126488
1,99922,4220,0.0422329416945,0.170379146919,3501,0.0350373291167,719,0.00719561257781
2,214373,8881,0.0414277917462,0.174304695417,7333,0.034206733124,1548,0.00722105862212
3,178454,8954,0.05017539534,0.153227607773,7582,0.042487139543,1372,0.00768825579701
4,215617,10826,0.0502093990734,0.16275632736,9064,0.0420375016812,1762,0.00817189739214
5,135543,8271,0.0610212257365,0.15947285697,6952,0.0512899965325,1319,0.00973122920402
6,188122,10739,0.0570852957124,0.16947574262,8919,0.0474107228288,1820,0.00967457288355
7,121931,8004,0.0656436837228,0.175912043978,6596,0.0540961691448,1408,0.0115475145779
8,155560,10366,0.0666366675238,0.177792784102,8523,0.0547891488815,1843,0.0118475186423
9,94897,7159,0.0754396872398,0.194021511384,5770,0.0608027651032,1389,0.0146369221366
10,117834,9092,0.0771593937234,0.182798064232,7430,0.0630548059134,1662,0.01410458781
11,77537,6688,0.0862555941035,0.198714114833,5359,0.0691153900718,1329,0.0171402040316
12,123612,10134,0.0819823318124,0.196862048549,8139,0.065843122027,1995,0.0161392097855
13,71854,6504,0.0905168814541,0.200799507995,5198,0.0723411361928,1306,0.0181757452612
14,97514,9059,0.0928994811001,0.21371012253,7123,0.0730459216113,1936,0.0198535594889
15,61606,6044,0.0981073272084,0.22319655857,4695,0.0762101094049,1349,0.0218972178035
16,75713,7552,0.099745090011,0.228813559322,5824,0.0769220609407,1728,0.0228230290703
17,51702,5473,0.105856639975,0.232413667093,4201,0.0812541100925,1272,0.0246025298828
18,64513,6738,0.104444065537,0.226625111309,5211,0.0807744175593,1527,0.0236696479779
19,46427,5131,0.110517586749,0.23952445917,3902,0.0840459215543,1229,0.0264716651948
20,59680,6571,0.110103887399,0.229493227819,5063,0.0848357908847,1508,0.0252680965147
21,44054,5150,0.116901983929,0.246213592233,3882,0.0881191265265,1268,0.0287828574023
22,48768,5790,0.118725393701,0.240587219344,4397,0.0901615813648,1393,0.028563812336
23,37729,4674,0.123883484853,0.257167308515,3472,0.0920247024835,1202,0.031858782369
